级别,模块,标题,期望,实际,说明,修复建议
FATAL,外键,外键类型不匹配: dish_usage_relation.store_id(bigint) → dish_master.dish_id(varchar),FK类型应与PK一致: varchar,FK=bigint PK=varchar,JOIN全表扫描或类型转换失败,ALTER TABLE `dish_usage_relation` MODIFY `store_id` varchar(20);
INFO,外键推断,建议添加外键: admin_users.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `admin_users` ADD CONSTRAINT fk_admin_users_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: ai_chat_history.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `ai_chat_history` ADD CONSTRAINT fk_ai_chat_history_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
INFO,外键推断,建议添加外键: ai_chat_history.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `ai_chat_history` ADD CONSTRAINT fk_ai_chat_history_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: ai_memory.user_id → user?,如果是外键需确认目标表,数据库中无`user`,ai_memory.user_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`user`或添加约束
INFO,外键推断,建议添加外键: ai_memory.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `ai_memory` ADD CONSTRAINT fk_ai_memory_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: approval_flow.business_id → business?,如果是外键需确认目标表,数据库中无`business`,approval_flow.business_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`business`或添加约束
WARNING,外键推断,_id列未匹配到表: approval_flow.applicant_id → applicant?,如果是外键需确认目标表,数据库中无`applicant`,approval_flow.applicant_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`applicant`或添加约束
INFO,外键推断,建议添加外键: approval_flow.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `approval_flow` ADD CONSTRAINT fk_approval_flow_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: approval_log.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `approval_log` ADD CONSTRAINT fk_approval_log_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: approval_log.business_id → business?,如果是外键需确认目标表,数据库中无`business`,approval_log.business_id(varchar(50)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`business`或添加约束
WARNING,外键推断,_id列未匹配到表: approval_log.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,approval_log.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
WARNING,外键推断,_id列未匹配到表: approval_node.flow_id → flow?,如果是外键需确认目标表,数据库中无`flow`,approval_node.flow_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`flow`或添加约束
WARNING,外键推断,_id列未匹配到表: approval_node.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,approval_node.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
INFO,外键推断,建议添加外键: approval_template.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `approval_template` ADD CONSTRAINT fk_approval_template_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: attendance.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `attendance` ADD CONSTRAINT fk_attendance_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: attendance.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `attendance` ADD CONSTRAINT fk_attendance_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
WARNING,外键推断,_id列未匹配到表: attendance_records.record_id → record?,如果是外键需确认目标表,数据库中无`record`,attendance_records.record_id(varchar(50)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`record`或添加约束
WARNING,外键推断,_id列未匹配到表: attendance_records.emp_id → emp?,如果是外键需确认目标表,数据库中无`emp`,attendance_records.emp_id(varchar(50)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`emp`或添加约束
INFO,外键推断,建议添加外键: attendance_records.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `attendance_records` ADD CONSTRAINT fk_attendance_records_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
INFO,外键推断,建议添加外键: attendance_records.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `attendance_records` ADD CONSTRAINT fk_attendance_records_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: audit_logs.user_id → user?,如果是外键需确认目标表,数据库中无`user`,audit_logs.user_id(varchar(64)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`user`或添加约束
INFO,外键推断,建议添加外键: audit_logs.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `audit_logs` ADD CONSTRAINT fk_audit_logs_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: banquet_template.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `banquet_template` ADD CONSTRAINT fk_banquet_template_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: banquet_template_rel.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `banquet_template_rel` ADD CONSTRAINT fk_banquet_template_rel_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: banquet_type.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `banquet_type` ADD CONSTRAINT fk_banquet_type_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: booking_dish_detail.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `booking_dish_detail` ADD CONSTRAINT fk_booking_dish_detail_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: booking_dish_detail.table_booking_id → table_booking?,如果是外键需确认目标表,数据库中无`table_booking`,booking_dish_detail.table_booking_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`table_booking`或添加约束
INFO,外键推断,建议添加外键: booking_dish_detail.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `booking_dish_detail` ADD CONSTRAINT fk_booking_dish_detail_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
INFO,外键推断,建议添加外键: booking_dish_detail.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `booking_dish_detail` ADD CONSTRAINT fk_booking_dish_detail_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
INFO,外键推断,建议添加外键: booking_master.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `booking_master` ADD CONSTRAINT fk_booking_master_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: booking_master.package_id → package_master,应添加外键约束保证数据完整性,当前无约束,package_id 命名暗示外键关系,ALTER TABLE `booking_master` ADD CONSTRAINT fk_booking_master_package_id FOREIGN KEY (package_id) REFERENCES package_master(id);
INFO,外键推断,建议添加外键: booking_table.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `booking_table` ADD CONSTRAINT fk_booking_table_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: booking_table.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `booking_table` ADD CONSTRAINT fk_booking_table_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
INFO,外键推断,建议添加外键: booking_table.package_id → package_master,应添加外键约束保证数据完整性,当前无约束,package_id 命名暗示外键关系,ALTER TABLE `booking_table` ADD CONSTRAINT fk_booking_table_package_id FOREIGN KEY (package_id) REFERENCES package_master(id);
INFO,外键推断,建议添加外键: change_log.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `change_log` ADD CONSTRAINT fk_change_log_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: change_log.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,change_log.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
WARNING,外键推断,_id列未匹配到表: change_log.target_id → target?,如果是外键需确认目标表,数据库中无`target`,change_log.target_id(varchar(50)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`target`或添加约束
INFO,外键推断,建议添加外键: config.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `config` ADD CONSTRAINT fk_config_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: customer_master.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `customer_master` ADD CONSTRAINT fk_customer_master_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: department.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `department` ADD CONSTRAINT fk_department_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: department.parent_id → parent?,如果是外键需确认目标表,数据库中无`parent`,department.parent_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`parent`或添加约束
INFO,外键推断,建议添加外键: dish_cost_card.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `dish_cost_card` ADD CONSTRAINT fk_dish_cost_card_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: dish_cost_card.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `dish_cost_card` ADD CONSTRAINT fk_dish_cost_card_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
INFO,外键推断,建议添加外键: dish_cost_card_detail.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `dish_cost_card_detail` ADD CONSTRAINT fk_dish_cost_card_detail_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: dish_cost_card_detail.cost_card_id → dish_cost_card,应添加外键约束保证数据完整性,当前无约束,cost_card_id 命名暗示外键关系,ALTER TABLE `dish_cost_card_detail` ADD CONSTRAINT fk_dish_cost_card_detail_cost_card_id FOREIGN KEY (cost_card_id) REFERENCES dish_cost_card(id);
INFO,外键推断,建议添加外键: dish_cost_card_detail.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `dish_cost_card_detail` ADD CONSTRAINT fk_dish_cost_card_detail_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
INFO,外键推断,建议添加外键: dish_master.category_id → dish_category,应添加外键约束保证数据完整性,当前无约束,category_id 命名暗示外键关系,ALTER TABLE `dish_master` ADD CONSTRAINT fk_dish_master_category_id FOREIGN KEY (category_id) REFERENCES dish_category(id);
INFO,外键推断,建议添加外键: dish_occasion_names.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `dish_occasion_names` ADD CONSTRAINT fk_dish_occasion_names_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: dish_occasion_names.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `dish_occasion_names` ADD CONSTRAINT fk_dish_occasion_names_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
INFO,外键推断,建议添加外键: dish_recipe.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `dish_recipe` ADD CONSTRAINT fk_dish_recipe_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: dish_recipe.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `dish_recipe` ADD CONSTRAINT fk_dish_recipe_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
INFO,外键推断,建议添加外键: dish_recipe.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `dish_recipe` ADD CONSTRAINT fk_dish_recipe_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
INFO,外键推断,建议添加外键: dishes.category_id → dish_category,应添加外键约束保证数据完整性,当前无约束,category_id 命名暗示外键关系,ALTER TABLE `dishes` ADD CONSTRAINT fk_dishes_category_id FOREIGN KEY (category_id) REFERENCES dish_category(id);
INFO,外键推断,建议添加外键: employee_lifecycle.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `employee_lifecycle` ADD CONSTRAINT fk_employee_lifecycle_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: employee_lifecycle.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `employee_lifecycle` ADD CONSTRAINT fk_employee_lifecycle_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
INFO,外键推断,建议添加外键: energy_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `energy_record` ADD CONSTRAINT fk_energy_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: energy_record.recorder_id → recorder?,如果是外键需确认目标表,数据库中无`recorder`,energy_record.recorder_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`recorder`或添加约束
INFO,外键推断,建议添加外键: finance_account.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_account` ADD CONSTRAINT fk_finance_account_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_cost_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_cost_record` ADD CONSTRAINT fk_finance_cost_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: finance_cost_record.related_id → related?,如果是外键需确认目标表,数据库中无`related`,finance_cost_record.related_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`related`或添加约束
INFO,外键推断,建议添加外键: finance_cost_record.department_id → department,应添加外键约束保证数据完整性,当前无约束,department_id 命名暗示外键关系,ALTER TABLE `finance_cost_record` ADD CONSTRAINT fk_finance_cost_record_department_id FOREIGN KEY (department_id) REFERENCES department(id);
WARNING,外键推断,_id列未匹配到表: finance_cost_record.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_cost_record.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_expense.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_expense` ADD CONSTRAINT fk_finance_expense_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: finance_expense.applicant_id → applicant?,如果是外键需确认目标表,数据库中无`applicant`,finance_expense.applicant_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`applicant`或添加约束
INFO,外键推断,建议添加外键: finance_expense.department_id → department,应添加外键约束保证数据完整性,当前无约束,department_id 命名暗示外键关系,ALTER TABLE `finance_expense` ADD CONSTRAINT fk_finance_expense_department_id FOREIGN KEY (department_id) REFERENCES department(id);
WARNING,外键推断,_id列未匹配到表: finance_expense.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,finance_expense.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
INFO,外键推断,建议添加外键: finance_expense.account_id → finance_account,应添加外键约束保证数据完整性,当前无约束,account_id 命名暗示外键关系,ALTER TABLE `finance_expense` ADD CONSTRAINT fk_finance_expense_account_id FOREIGN KEY (account_id) REFERENCES finance_account(id);
INFO,外键推断,建议添加外键: finance_payable.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_payable` ADD CONSTRAINT fk_finance_payable_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_payable.supplier_id → supplier_master,应添加外键约束保证数据完整性,当前无约束,supplier_id 命名暗示外键关系,ALTER TABLE `finance_payable` ADD CONSTRAINT fk_finance_payable_supplier_id FOREIGN KEY (supplier_id) REFERENCES supplier_master(id);
INFO,外键推断,建议添加外键: finance_payable.purchase_id → purchase_order,应添加外键约束保证数据完整性,当前无约束,purchase_id 命名暗示外键关系,ALTER TABLE `finance_payable` ADD CONSTRAINT fk_finance_payable_purchase_id FOREIGN KEY (purchase_id) REFERENCES purchase_order(id);
WARNING,外键推断,_id列未匹配到表: finance_payable.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_payable.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_payment_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_payment_record` ADD CONSTRAINT fk_finance_payment_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_payment_record.receivable_id → finance_receivable,应添加外键约束保证数据完整性,当前无约束,receivable_id 命名暗示外键关系,ALTER TABLE `finance_payment_record` ADD CONSTRAINT fk_finance_payment_record_receivable_id FOREIGN KEY (receivable_id) REFERENCES finance_receivable(id);
